Session: untitled,,,,,,,
Training Data: regresionabejas_normalizado_APPs    Observations: 49,,,,,,,
"Predictors: 45    Predictor Names: M_norm1, M_norm2, M_norm3, M_norm4, M_norm5, M_norm6, M_norm7, M_norm8, M_norm9, M_norm10, M_norm11, M_norm12, M_norm13, M_norm14, M_norm15, M_norm16, M_norm17, M_norm18, M_norm19, M_norm20, M_norm21, M_norm22, M_norm23, M_norm24, M_norm25, M_norm26, M_norm27, M_norm28, M_norm29, M_norm30, M_norm31, M_norm32, M_norm33, M_norm34, M_norm35, M_norm36, M_norm37, M_norm38, M_norm39, M_norm40, M_norm41, M_norm42, M_norm43, M_norm44, M_norm45",,,,,,,
Response Name: M_norm46,,,,,,,
Validation: 5-fold cross-validation,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,RMSE (Validation),MSE (Validation),RSquared (Validation),Prediction Speed (obs/sec),Training Time (sec)
0,2.30,Customizable Neural Network,11.2813790072535,127.269512305301,0.655124565523507,2384.89243648399,235.398301
0,2.28,Neural Network,11.4086024555352,130.156209988444,0.647302180573308,4750.82412255187,210.675802
0,2.17,Gaussian Process Regression,11.5595216716116,133.622541276457,0.637909102157754,4447.26810673443,206.295484
0,2.16,Gaussian Process Regression,11.5595217706038,133.622543565062,0.637909095956082,3008.1650193382,206.723822
0,2.18,Gaussian Process Regression,11.5775322143487,134.039252174281,0.636779897296864,4355.16842947294,205.90235
0,2.14,Efficient Linear,11.6605557595554,135.9685606217,0.63155184953436,4028.94260812366,207.999049
0,2.29,Customizable Neural Network,11.7355601828175,137.723372804532,0.626796652448925,968.494287860221,227.45083
0,2.19,Gaussian Process Regression,11.9451018751655,142.685458808081,0.613350371910987,4513.21727917473,205.409346
0,2.22,Ensemble,12.0195888859134,144.470516986372,0.608513214105847,1478.48651258222,214.044485
0,2.12,SVM,12.5062408462713,156.406060104945,0.576170231531542,5451.71339563863,209.104857
0,2.21,Kernel,12.5896105911421,158.498294836596,0.570500685471098,4325.56497175141,214.99051
0,2.23,Ensemble,12.9806938835022,168.498413697191,0.543402323307261,1946.83936588661,212.989608
0,2.25,Neural Network,13.1004854380599,171.62271871282,0.534936069055279,4551.78820250813,211.933081
0,2.10,SVM,13.2650129466618,175.960568475105,0.523181346385542,5397.66468385107,209.921784
0,1,Tree,13.6823717349787,187.207296294143,0.492704918270337,814.318714373556,6.482754
0,2.5,Tree,13.6823717349787,187.207296294143,0.492704918270337,5437.19485130936,207.143719
0,2.15,Efficient Linear,13.7187026519506,188.202802452636,0.490007291692569,5808.44001896633,207.174048
0,2.11,SVM,13.9341009068035,194.159168080981,0.473866708242791,5481.59749412686,209.546271
0,2.26,Neural Network,14.4358040716476,208.392439194997,0.435297333138305,3875.66242189354,211.555434
0,2.6,Tree,15.238554304821,232.213537300977,0.370746826027854,5950.93514695166,203.986163
0,2.9,SVM,15.2620693525429,232.930760921829,0.368803290585803,5423.95395173788,210.312694
0,2.24,Neural Network,15.6003253872634,243.370152188496,0.340514586295607,2868.01287679251,212.306496
0,2.8,SVM,16.9114836109101,285.998277922082,0.225000720350851,3249.98341845195,210.436369
0,2.13,SVM,16.9542223368316,287.44565504672,0.221078612018154,5439.00543900544,208.478315
0,2.20,Kernel,18.3912887028094,338.239500150083,0.0834372470011185,2464.16897158662,215.380638
0,2.27,Neural Network,19.0260511075519,361.990620747178,0.0190763652246801,4750.82412255187,211.174973
0,2.7,Tree,19.2101634307646,369.030379036684,-2.22044604925031e-16,5927.89741108154,203.301609
0,2.2,Linear Regression,26.8560385740933,721.246807893188,-0.954437490419975,171.11149135887,6.386723
0,2.1,Linear Regression,37.3565723984052,1395.51350135729,-2.78156807848757,1527.47903612956,5.273605
0,2.4,Stepwise Linear Regression,97.7922071997735,9563.31578900344,-24.9147114499557,5095.67387687188,207.379515
0,2.3,Linear Regression,NaN,NaN,NaN,NaN,2.772018
