Session: untitled,,,,,,,
Training Data: regresionabejas_normalizado_APP_NDVI    Observations: 49,,,,,,,
"Predictors: 56    Predictor Names: M_norm1, M_norm2, M_norm3, M_norm4, M_norm5, M_norm6, M_norm7, M_norm8, M_norm9, M_norm10, M_norm11, M_norm12, M_norm13, M_norm14, M_norm15, M_norm16, M_norm17, M_norm18, M_norm19, M_norm20, M_norm21, M_norm22, M_norm23, M_norm24, M_norm25, M_norm26, M_norm27, M_norm28, M_norm29, M_norm30, M_norm31, M_norm32, M_norm33, M_norm34, M_norm35, M_norm36, M_norm37, M_norm38, M_norm39, M_norm40, M_norm41, M_norm42, M_norm43, M_norm44, M_norm45, M_norm46, M_norm47, M_norm48, M_norm49, M_norm50, M_norm51, M_norm52, M_norm53, M_norm54, M_norm55, M_norm56",,,,,,,
Response Name: M_norm57,,,,,,,
Validation: 5-fold cross-validation,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,RMSE (Validation),MSE (Validation),RSquared (Validation),Prediction Speed (obs/sec),Training Time (sec)
0,2.22,Ensemble,11.0133302339283,121.293442841558,0.674654340569482,2184.28208442919,223.911294
0,2.18,Gaussian Process Regression,11.9785284229456,143.485143179314,0.615129495605662,4300.13163668276,227.084642
0,2.19,Gaussian Process Regression,12.0261843667483,144.62911042302,0.61206102983743,4866.90504568931,226.399829
0,2.16,Gaussian Process Regression,12.0595041175615,145.431639561483,0.609908404224301,4406.47482014388,228.351863
0,2.17,Gaussian Process Regression,12.0595044540054,145.431647676177,0.60990838245824,4183.0288543623,227.724022
0,2.14,Efficient Linear,12.0663782569054,145.59748423872,0.609463558694198,5148.6813071346,229.65886
0,2.12,SVM,12.2141831847714,149.186270871153,0.599837348685389,4769.32061514503,231.065648
0,2.23,Ensemble,12.7529235021425,162.637057851499,0.563758274190847,1995.03277553846,222.722139
0,2.15,Efficient Linear,13.0654193007367,170.705181504062,0.542117128976272,5227.78192681105,228.999049
0,2.21,Kernel,13.1709723809173,173.474513458887,0.5346889439902,4489.23499770957,225.105521
0,2.29,Customizable Neural Network,13.6690032209259,186.841649053682,0.498834247784844,2687.72969118534,232.680393
0,2.30,Customizable Neural Network,14.0865522298539,198.430953724401,0.467748231244267,2572.71868108789,238.837356
0,2.10,SVM,14.5092615429259,210.518670521029,0.435325322799451,4521.96382428941,234.039727
0,2.9,SVM,15.0575361209576,226.729394033943,0.391843264679919,4778.62297639945,234.749686
0,2.13,SVM,16.240817786737,263.764162381991,0.292504826856932,4459.41026574445,230.348446
0,2.6,Tree,16.2753713165312,264.887711490967,0.289491128694866,5240.08127472998,224.784871
0,1,Tree,16.5088040107287,272.540609864653,0.268963743127999,4957.50708215297,4.788361
0,2.5,Tree,16.5088040107287,272.540609864653,0.268963743127999,5071.93872269951,225.448811
0,2.8,SVM,16.6293774674641,276.536194955401,0.258246376750177,4779.55520873976,235.032869
0,2.11,SVM,17.7962802352796,316.707590212604,0.150494557904777,4676.46497423172,231.801332
0,2.28,Neural Network,18.1925686694656,330.96955479322,0.112239660009625,4730.18631142002,233.577515
0,2.20,Kernel,18.8709965171097,356.114509548767,0.0447932944465644,4525.30476542298,225.764032
0,2.24,Neural Network,19.122676462948,365.676755106586,0.0191444628711513,4703.84947681674,236.101089
0,2.7,Tree,19.3083940406023,372.814080427166,-2.22044604925031e-16,4983.2197701617,223.766968
0,2.25,Neural Network,19.8475495984776,393.92522506403,-0.0566264681115984,4641.03049820042,235.807566
0,2.27,Neural Network,22.038021458771,485.67438981725,-0.302725447656833,4197.36165838616,234.225153
0,2.26,Neural Network,22.2063908184243,493.123793180598,-0.322706998125132,4481.02423411065,235.180083
0,2.2,Linear Regression,43.7140061369447,1910.91433254084,-4.12564957404864,95.4921842570416,6.68294
0,2.4,Stepwise Linear Regression,155.195269932872,24085.5718095369,-63.6047804362432,4047.57971253924,225.752054
0,2.1,Linear Regression,234.608513833663,55041.1547632401,-146.637006360314,2167.7579189524,3.452854
0,2.3,Linear Regression,NaN,NaN,NaN,NaN,3.802754
